Route 1,Route 2,Difference Raw,Difference Score
chib1,miss3,-0.008245,0.008245
pyra1,came1,0.00828,0.00828
huro2,bros4,0.008289,0.008289
eldi3,gray3,-0.0083,0.0083
hand1,cast1,0.008315,0.008315
colu2,gray6,0.008341,0.008341
bier1,elbe2,-0.008359,0.008359
colu2,evan3,-0.008362,0.008362
quan2,bier1,-0.008395,0.008395
belf1,evan3,-0.008413,0.008413
huro2,blan1,-0.008414,0.008414
cast2,colu6,0.008417,0.008417
conu1,bier3,-0.008433,0.008433
cast1,gray1,0.008447,0.008447
belf1,quan2,-0.008464,0.008464
blan1,sher2,0.008485,0.008485
harv3,evan4,-0.0085,0.0085
bros5,cast2,0.008504,0.008504
kitc2,elbe4,-0.008519,0.008519
belf8,evan3,0.008564,0.008564
elli2,elbe4,-0.008577,0.008577
capi1,evan2,0.008594,0.008594
elbe2,oxfo2,0.008602,0.008602
quan4,bros3,0.008615,0.008615
eolu3,mass1,-0.008628,0.008628
bros4,bros5,-0.008629,0.008629
mass3,elli3,-0.008682,0.008682
hand2,lind2,-0.008716,0.008716
cpea2,chal1,-0.008722,0.008722
lind2,bros1,0.008774,0.008774
eldi3,demo1,0.008796,0.008796
bier1,chib1,0.0088,0.0088
sunl2,cast3,0.008809,0.008809
conu1,chal1,-0.00885,0.00885
bier1,humb2,0.008852,0.008852
lind1,belf8,0.008857,0.008857
came1,linc2,-0.008904,0.008904
belf8,bros3,0.008909,0.008909
long1,bros3,0.008927,0.008927
demo1,chal5,0.008946,0.008946
cast1,hand2,-0.008949,0.008949
belf8,cpea2,0.00898,0.00898
bros3,suns2,0.009006,0.009006
bros5,elli3,0.009017,0.009017
evan3,elbe4,0.009019,0.009019
holy1,cast4,0.009094,0.009094
bros3,sanl1,-0.009104,0.009104
holy1,hand3,-0.009115,0.009115
huro1,elbe3,0.009117,0.009117
bier3,humb3,-0.009118,0.009118
bros2,silv0,-0.009142,0.009142
litt6,como0,0.009159,0.009159
blan1,demo1,-0.009162,0.009162
kitc3,elli3,-0.009186,0.009186
belf8,torr7,0.00921,0.00921
evan3,lapl1,-0.009229,0.009229
harv3,belf8,0.00923,0.00923
bier3,pikeeast,-0.009242,0.009242
bier1,snef1,0.009288,0.009288
colu2,linc3,-0.009291,0.009291
chib1,evan3,-0.009322,0.009322
neol4,cnee3,0.009333,0.009333
huro2,elbe1,-0.009343,0.009343
lind1,elbe4,-0.009352,0.009352
cnee1,mwil7,0.009353,0.009353
gray1,bier4,0.009363,0.009363
ante1,belf1,-0.009369,0.009369
hand1,harv3,0.009393,0.009393
demo2,elbe1,0.009411,0.009411
harv3,cast4,0.009467,0.009467
lind2,eldi4,-0.009474,0.009474
long1,chal5,-0.009484,0.009484
cpea2,cast4,-0.009492,0.009492
chal5,pike1,-0.009516,0.009516
belf1,pike1,0.009521,0.009521
mass3,gray1,0.009555,0.009555
kitc6,humb2,0.009557,0.009557
snow2,bros3,0.009566,0.009566
elbe2,mwil5,0.0096,0.0096
eolu3,mwil2,-0.009625,0.009625
colu2,litt6,-0.009626,0.009626
evan3,cast4,-0.009665,0.009665
huro2,eldi3,-0.009678,0.009678
humb1,harv3,0.009709,0.009709
harv1,bier1,0.009715,0.009715
colu2,chal5,0.009717,0.009717
ante1,came1,-0.009756,0.009756
harv4,long1,0.009772,0.009772
pyra1,cast2,0.009779,0.009779
cast2,cast4,-0.00981,0.00981
belf8,wils1,-0.009819,0.009819
elbe4,nmar2,-0.009872,0.009872
silv0,cast3,-0.009891,0.009891
elli2,bros3,-0.009908,0.009908
huro2,bros5,0.00991,0.00991
bier3,quan3,-0.009939,0.009939
harv1,chal1,0.009952,0.009952
colu2,gray8,0.009962,0.009962
kitc6,huro2,-0.009981,0.009981
kitc6,cnee1,-0.009995,0.009995
huro2,humb1,0.010002,0.010002
conu5,mwil2,-0.01002,0.01002
holy2,gray8,0.010034,0.010034
colu2,quan1,0.010054,0.010054
lapl1,bros2,-0.010086,0.010086
cast2,cule1,0.010094,0.010094
mass1,gray6,-0.010102,0.010102
quan4,bros6,0.010114,0.010114
demo1,long1,0.01012,0.01012
kitc2,bros1,0.01016,0.01016
bros5,quan1,0.010191,0.010191
lapl1,evan4,0.0102,0.0102
miss3,gray6,-0.010211,0.010211
cast1,como0,0.010233,0.010233
cpea2,oxfo2,-0.01026,0.01026
sher1,belf1,-0.010263,0.010263
linc3,como0,-0.010284,0.010284
gray1,lind2,-0.010304,0.010304
gray3,kitc2,-0.010334,0.010334
cpea2,evan3,-0.010352,0.010352
elli3,humb3,0.01036,0.01036
lind1,bros2,0.010395,0.010395
gray8,humb3,0.010417,0.010417
bros5,bier4,-0.010439,0.010439
cast3,bros5,-0.010456,0.010456
harv4,eolu3,-0.010478,0.010478
gray6,harv1,0.010489,0.010489
cast2,cast1,0.01051,0.01051
hand3,elbe3,0.010511,0.010511
conu1,capi1,-0.010526,0.010526
gray1,huro1,0.010537,0.010537
cnee3,maro1,0.010542,0.010542
kitc6,harv1,0.010555,0.010555
humb1,cast3,-0.010577,0.010577
cpea2,cast1,-0.010596,0.010596
holy1,colu2,0.010632,0.010632
bros5,snef1,-0.010649,0.010649
elli2,bros2,-0.010677,0.010677
miss1,demo2,0.010695,0.010695
demo1,nava0,-0.010721,0.010721
evan3,kitc2,-0.010728,0.010728
prin1,blan1,0.010733,0.010733
cast2,snef1,0.01074,0.01074
cast2,hand1,-0.010765,0.010765
long1,harv4,0.010766,0.010766
gray3,cast1,-0.01077,0.01077
evan2,linc2,-0.010772,0.010772
shav1,cnee1,-0.010816,0.010816
colu2,cnee3,0.010822,0.010822
evan3,bros4,-0.010843,0.010843
cast1,conu1,-0.010861,0.010861
bier3,shav4,-0.010864,0.010864
elbe2,prin1,-0.010936,0.010936
bier4,bier4,-0.010947,0.010947
torr2,bier4,0.01095,0.01095
litt6,capi1,0.010953,0.010953
cast1,kitc2,-0.010957,0.010957
cast3,bier1,-0.01096,0.01096
lind2,elbe3,-0.010973,0.010973
capi1,lind2,0.01098,0.01098
linc3,demo1,-0.010981,0.010981
mass1,hand1,0.010995,0.010995
quan3,elbe1,-0.011038,0.011038
eolu3,bros4,0.011039,0.011039
demo1,linc3,0.011046,0.011046
snef1,bros6,0.011065,0.011065
harv3,chal1,0.011088,0.011088
evan4,mwil6,-0.011089,0.011089
lind3,hand3,0.011093,0.011093
gray6,kilp0,-0.011103,0.011103
bros5,oxfo2,0.011117,0.011117
sanl1,bros5,0.011128,0.011128
eldi3,mwil5,-0.011138,0.011138
harv3,kitc6,0.011179,0.011179
maro1,came1,-0.011202,0.011202
elbe4,hand3,0.01121,0.01121
elbe4,pike1,0.011224,0.011224
neol4,capi1,0.011226,0.011226
gray3,harv3,0.011259,0.011259
gray1,mass2,-0.011302,0.011302
bros2,quan1,-0.011307,0.011307
evan3,bros3,-0.011329,0.011329
belf8,demo2,-0.01134,0.01134
long1,colu2,-0.011374,0.011374
prin1,elbe4,-0.011414,0.011414
gray6,chal1,0.011417,0.011417
holy2,chal5,-0.011439,0.011439
elli2,miss1,-0.011446,0.011446
gray1,holy1,0.011462,0.011462
evan1,miss3,0.011469,0.011469
quan2,conu1,-0.011513,0.011513
elli2,elbe2,-0.011537,0.011537
gray6,capi1,-0.011539,0.011539
hand1,kitc3,0.011558,0.011558
mass2,gray1,0.011565,0.011565
eldi4,mwil5,0.011569,0.011569
harv1,chal5,0.011574,0.011574
colu2,colu2,0.011591,0.011591
humb1,evan4,0.011602,0.011602
cnee3,silv0,-0.011605,0.011605
kitc2,humb3,-0.011637,0.011637
bros5,suns3,-0.011647,0.011647
harv1,lapl1,0.011665,0.011665
cast3,sunl2,-0.011666,0.011666
elli2,lind2,0.011709,0.011709
demo1,prin1,-0.011718,0.011718
hand3,linc2,0.011728,0.011728
demo1,kitc6,0.011742,0.011742
torr5,blan1,0.011769,0.011769
humb2,blan1,0.011777,0.011777
kitc2,chib1,0.011782,0.011782
elli3,nmar2,-0.011787,0.011787
lind3,elbe3,-0.011811,0.011811
bros5,mwil6,0.011814,0.011814
miss2,bros1,-0.011822,0.011822
gray3,huro1,-0.011833,0.011833
bros3,litt6,0.011845,0.011845
bier4,chib1,-0.011848,0.011848
demo1,elbe1,0.011867,0.011867
linc3,elbe4,-0.011906,0.011906
gray6,bros4,0.011908,0.011908
